y Weight   -0.123643
y Weight   -0.123643
y Weight   0.86715
y Weight   -0.123643
y Weight   -0.123643
y Weight   1.06184
y Weight   0.594267
y Weight   -0.123643
y Weight   1.07902
y Weight   1.05196
y Weight   -0.123643
y Weight   -0.123643
y Weight   1.08194
y Weight   1.07475
y Weight   1.07651
y Weight   1.05347
y Weight   -0.123643
y Weight   1.06845
y Weight   1.05898
y Weight   -0.123643
y Weight   -0.123643
y Weight   1.07492
y Weight   0.610212
y Weight   1.08224
y Weight   1.06442
y Weight   0.322464
y Weight   -0.123643
y Weight   1.0802
y Weight   0.482349
y Weight   1.05356
y Weight   -0.123643
y Weight   1.07885
y Weight   1.05996
y Weight   -0.0851447
y Weight   1.07419
y Weight   1.07974
y Weight   0.807035
y Weight   -0.123643
y Weight   1.06296
y Weight   -0.123643
y Weight   -0.123643
y Weight   -0.123643
y Weight   -0.123643
y Weight   -0.123643
y Weight   0.0356201
y Weight   -0.123643
y Weight   0.339637
y Weight   1.07722
y Weight   0.887074
y Weight   1.08236
y Weight   -0.123643
y Weight   1.08218
y Weight   1.06755
y Weight   -0.123643
y Weight   -0.073526
y Weight   1.0808
y Weight   -0.122841
y Weight   -0.123642
y Weight   0.663485
y Weight   0.313876
y Weight   1.07904
y Weight   -0.123643
y Weight   1.08231
y Weight   -0.123643
y Weight   1.08178
y Weight   0.879207
y Weight   1.07093
y Weight   -0.123643
y Weight   1.0693
y Weight   -0.123643
y Weight   0.733766
y Weight   -0.0512619
y Weight   -0.123643
y Weight   0.695753
y Weight   -0.123642
y Weight   1.08237
y Weight   1.06165
y Weight   1.08233
y Weight   -0.123643
y Weight   -0.123643
y Weight   1.0556
y Weight   0.541258
y Weight   1.07624
y Weight   -0.123643
y Weight   0.96279
y Weight   -0.114349
y Weight   1.06214
y Weight   1.05339
y Weight   1.02314
y Weight   1.08125
y Weight   1.08044
y Weight   0.971855
y Weight   -0.123643
y Weight   -0.123643
y Weight   1.07368
y Weight   1.08175
y Weight   -0.110743
y Weight   -0.123643
y Weight   1.0782
y Weight   1.07396
y Weight   -0.0949363
y Weight   -0.122418
y Weight   -0.123378
y Weight   1.03034
y Weight   1.0074
y Weight   -0.121042
y Weight   1.08211
y Weight   -0.123643
y Weight   0.95462
y Weight   -0.123643
y Weight   1.07163
y Weight   1.06704
y Weight   1.08034
y Weight   -0.123632
y Weight   -0.123643
y Weight   1.08228
y Weight   -0.123643
y Weight   0.413527
y Weight   -0.123643
y Weight   1.0367
y Weight   -0.123643
y Weight   -0.123642
y Weight   1.07239
y Weight   -0.119735
y Weight   1.05747
y Weight   -0.123643
y Weight   -0.123643
y Weight   0.856586
